amount,balance,cancelYn,date,storeId,transactionId
36093,397,N,2021-10-02,595361,cc77167a-c27-4589-9548-000000000057
96822,654,Y,2021-11-03,5603431,cc87167a-c28-4589-9548-000000000058
11322,530,N,2021-12-04,6717131,cc97167a-c29-4589-9548-000000000059
47949,852,N,2021-01-05,5460431,cc07167a-c20-4589-9548-000000000060
3886,874,Y,2021-02-06,2033931,cc17167a-c21-4589-9548-000000000061
83710,253,N,2021-03-07,595361,cc27167a-c22-4589-9548-000000000062
65354,665,Y,2021-04-08,5603431,cc37167a-c23-4589-9548-000000000063
41451,226,N,2021-05-09,6717131,cc47167a-c24-4589-9548-000000000064
12911,82,N,2021-06-10,5460431,cc57167a-c25-4589-9548-000000000065
40122,681,N,2021-07-11,2033931,cc67167a-c26-4589-9548-000000000066
50926,78,N,2021-08-12,595361,cc77167a-c27-4589-9548-000000000067
46195,548,N,2021-09-13,5603431,cc87167a-c28-4589-9548-000000000068
54564,16,Y,2021-10-14,6717131,cc97167a-c29-4589-9548-000000000069
27557,847,Y,2021-11-15,5460431,cc07167a-c20-4589-9548-000000000070
64433,692,Y,2021-12-16,2033931,cc17167a-c21-4589-9548-000000000071
19372,402,N,2021-01-17,595361,cc27167a-c22-4589-9548-000000000072
62327,57,N,2021-02-18,5603431,cc37167a-c23-4589-9548-000000000073
49893,771,N,2021-03-19,6717131,cc47167a-c24-4589-9548-000000000074
90515,266,N,2021-04-20,5460431,cc57167a-c25-4589-9548-000000000075
38485,318,N,2021-05-21,2033931,cc67167a-c26-4589-9548-000000000076
5262,874,N,2021-06-22,595361,cc77167a-c27-4589-9548-000000000077
45751,566,N,2021-07-23,5603431,cc87167a-c28-4589-9548-000000000078
24906,242,N,2021-08-24,6717131,cc97167a-c29-4589-9548-000000000079
35708,608,Y,2021-09-25,5460431,cc07167a-c20-4589-9548-000000000080
37667,679,N,2021-10-26,2033931,cc17167a-c21-4589-9548-000000000081
6202,305,N,2021-11-27,595361,cc27167a-c22-4589-9548-000000000082
99343,300,N,2021-12-28,5603431,cc37167a-c23-4589-9548-000000000083
10118,268,N,2021-01-01,6717131,cc47167a-c24-4589-9548-000000000084
49272,929,N,2021-02-02,5460431,cc57167a-c25-4589-9548-000000000085
54364,54,N,2021-03-03,2033931,cc67167a-c26-4589-9548-000000000086
2346,889,N,2021-04-04,595361,cc77167a-c27-4589-9548-000000000087
39101,532,Y,2021-05-05,5603431,cc87167a-c28-4589-9548-000000000088
19499,727,N,2021-06-06,6717131,cc97167a-c29-4589-9548-000000000089
51660,118,Y,2021-07-07,5460431,cc07167a-c20-4589-9548-000000000090
62416,90,Y,2021-08-08,2033931,cc17167a-c21-4589-9548-000000000091
46313,820,Y,2021-09-09,595361,cc27167a-c22-4589-9548-000000000092
45102,13,Y,2021-10-10,5603431,cc37167a-c23-4589-9548-000000000093
91638,21,Y,2021-11-11,6717131,cc47167a-c24-4589-9548-000000000094
79424,6,N,2021-12-12,5460431,cc57167a-c25-4589-9548-000000000095
87518,217,N,2021-01-13,2033931,cc67167a-c26-4589-9548-000000000096
561,637,Y,2021-02-14,595361,cc77167a-c27-4589-9548-000000000097
60320,811,Y,2021-03-15,5603431,cc87167a-c28-4589-9548-000000000098
64713,198,N,2021-04-16,6717131,cc97167a-c29-4589-9548-000000000099
22490,141,N,2021-05-17,5460431,cc07167a-c20-4589-9548-000000000100
55606,700,N,2021-06-18,2033931,cc17167a-c21-4589-9548-000000000101
78672,398,Y,2021-07-19,595361,cc27167a-c22-4589-9548-000000000102
96860,485,N,2021-08-20,5603431,cc37167a-c23-4589-9548-000000000103
47848,956,N,2021-09-21,6717131,cc47167a-c24-4589-9548-000000000104
52113,756,N,2021-10-22,5460431,cc57167a-c25-4589-9548-000000000105
41996,147,Y,2021-11-23,2033931,cc67167a-c26-4589-9548-000000000106
19217,655,Y,2021-12-24,595361,cc77167a-c27-4589-9548-000000000107
89119,262,N,2021-01-25,5603431,cc87167a-c28-4589-9548-000000000108
99065,223,Y,2021-02-26,6717131,cc97167a-c29-4589-9548-000000000109
40579,210,N,2021-03-27,5460431,cc07167a-c20-4589-9548-000000000110
94790,417,Y,2021-04-28,2033931,cc17167a-c21-4589-9548-000000000111
57812,747,Y,2021-05-01,595361,cc27167a-c22-4589-9548-000000000112
83958,792,Y,2021-06-02,5603431,cc37167a-c23-4589-9548-000000000113
28352,521,N,2021-07-03,6717131,cc47167a-c24-4589-9548-000000000114
48177,193,Y,2021-08-04,5460431,cc57167a-c25-4589-9548-000000000115
34342,528,N,2021-09-05,2033931,cc67167a-c26-4589-9548-000000000116
31774,302,N,2021-10-06,595361,cc77167a-c27-4589-9548-000000000117
31787,991,Y,2021-11-07,5603431,cc87167a-c28-4589-9548-000000000118
56578,671,N,2021-12-08,6717131,cc97167a-c29-4589-9548-000000000119
23541,940,N,2021-01-09,5460431,cc07167a-c20-4589-9548-000000000120
80411,39,Y,2021-02-10,2033931,cc17167a-c21-4589-9548-000000000121
62238,614,Y,2021-03-11,595361,cc27167a-c22-4589-9548-000000000122
81315,890,Y,2021-04-12,5603431,cc37167a-c23-4589-9548-000000000123
86625,681,Y,2021-05-13,6717131,cc47167a-c24-4589-9548-000000000124
99157,344,Y,2021-06-14,5460431,cc57167a-c25-4589-9548-000000000125
43263,774,Y,2021-07-15,2033931,cc67167a-c26-4589-9548-000000000126
93962,81,N,2021-08-16,595361,cc77167a-c27-4589-9548-000000000127
68471,729,Y,2021-09-17,5603431,cc87167a-c28-4589-9548-000000000128
90362,622,N,2021-10-18,6717131,cc97167a-c29-4589-9548-000000000129
47123,230,Y,2021-11-19,5460431,cc07167a-c20-4589-9548-000000000130
79053,135,Y,2021-12-20,2033931,cc17167a-c21-4589-9548-000000000131
98037,420,N,2021-01-21,595361,cc27167a-c22-4589-9548-000000000132
43063,937,Y,2021-02-22,5603431,cc37167a-c23-4589-9548-000000000133
16611,853,Y,2021-03-23,6717131,cc47167a-c24-4589-9548-000000000134
22039,104,Y,2021-04-24,5460431,cc57167a-c25-4589-9548-000000000135
10626,936,Y,2021-05-25,2033931,cc67167a-c26-4589-9548-000000000136
82617,395,N,2021-06-26,595361,cc77167a-c27-4589-9548-000000000137
39545,269,Y,2021-07-27,5603431,cc87167a-c28-4589-9548-000000000138
5999,162,Y,2021-08-28,6717131,cc97167a-c29-4589-9548-000000000139
11334,37,N,2021-09-01,5460431,cc07167a-c20-4589-9548-000000000140
83410,825,Y,2021-10-02,2033931,cc17167a-c21-4589-9548-000000000141
74125,505,N,2021-11-03,595361,cc27167a-c22-4589-9548-000000000142
74654,992,N,2021-12-04,5603431,cc37167a-c23-4589-9548-000000000143
54361,347,Y,2021-01-05,6717131,cc47167a-c24-4589-9548-000000000144
60788,822,Y,2021-02-06,5460431,cc57167a-c25-4589-9548-000000000145
40459,273,Y,2021-03-07,2033931,cc67167a-c26-4589-9548-000000000146
13263,668,N,2021-04-08,595361,cc77167a-c27-4589-9548-000000000147
25154,767,Y,2021-05-09,5603431,cc87167a-c28-4589-9548-000000000148
24275,459,N,2021-06-10,6717131,cc97167a-c29-4589-9548-000000000149
56315,886,N,2021-07-11,5460431,cc07167a-c20-4589-9548-000000000150
92417,407,Y,2021-08-12,2033931,cc17167a-c21-4589-9548-000000000151
49776,709,N,2021-09-13,595361,cc27167a-c22-4589-9548-000000000152
60584,255,Y,2021-10-14,5603431,cc37167a-c23-4589-9548-000000000153
32928,252,N,2021-11-15,6717131,cc47167a-c24-4589-9548-000000000154
68645,808,Y,2021-12-16,5460431,cc57167a-c25-4589-9548-000000000155
21107,66,N,2021-01-17,2033931,cc67167a-c26-4589-9548-000000000156
43211,312,N,2021-02-18,595361,cc77167a-c27-4589-9548-000000000157
31800,26,N,2021-03-19,5603431,cc87167a-c28-4589-9548-000000000158
18636,981,Y,2021-04-20,6717131,cc97167a-c29-4589-9548-000000000159
58784,552,N,2021-05-21,5460431,cc07167a-c20-4589-9548-000000000160
32427,540,Y,2021-06-22,2033931,cc17167a-c21-4589-9548-000000000161
54393,77,N,2021-07-23,595361,cc27167a-c22-4589-9548-000000000162
25859,933,N,2021-08-24,5603431,cc37167a-c23-4589-9548-000000000163
7144,698,N,2021-09-25,6717131,cc47167a-c24-4589-9548-000000000164
86831,272,Y,2021-10-26,5460431,cc57167a-c25-4589-9548-000000000165
38966,471,N,2021-11-27,2033931,cc67167a-c26-4589-9548-000000000166
99385,283,N,2021-12-28,595361,cc77167a-c27-4589-9548-000000000167
10423,690,Y,2021-01-01,5603431,cc87167a-c28-4589-9548-000000000168
30326,255,Y,2021-02-02,6717131,cc97167a-c29-4589-9548-000000000169
88241,501,N,2021-03-03,5460431,cc07167a-c20-4589-9548-000000000170
58196,624,Y,2021-04-04,2033931,cc17167a-c21-4589-9548-000000000171
19985,217,N,2021-05-05,595361,cc27167a-c22-4589-9548-000000000172
95122,806,Y,2021-06-06,5603431,cc37167a-c23-4589-9548-000000000173
59292,174,Y,2021-07-07,6717131,cc47167a-c24-4589-9548-000000000174
46076,646,N,2021-08-08,5460431,cc57167a-c25-4589-9548-000000000175
54464,983,N,2021-09-09,2033931,cc67167a-c26-4589-9548-000000000176
69246,602,N,2021-10-10,595361,cc77167a-c27-4589-9548-000000000177
14393,395,Y,2021-11-11,5603431,cc87167a-c28-4589-9548-000000000178
93717,243,Y,2021-12-12,6717131,cc97167a-c29-4589-9548-000000000179
50015,705,Y,2021-01-13,5460431,cc07167a-c20-4589-9548-000000000180
79108,848,Y,2021-02-14,2033931,cc17167a-c21-4589-9548-000000000181
48898,379,Y,2021-03-15,595361,cc27167a-c22-4589-9548-000000000182
22229,466,Y,2021-04-16,5603431,cc37167a-c23-4589-9548-000000000183
7246,961,N,2021-05-17,6717131,cc47167a-c24-4589-9548-000000000184
29487,44,Y,2021-06-18,5460431,cc57167a-c25-4589-9548-000000000185
4704,796,Y,2021-07-19,2033931,cc67167a-c26-4589-9548-000000000186
86032,302,N,2021-08-20,595361,cc77167a-c27-4589-9548-000000000187
60475,839,N,2021-09-21,5603431,cc87167a-c28-4589-9548-000000000188
64659,977,N,2021-10-22,6717131,cc97167a-c29-4589-9548-000000000189
21525,843,N,2021-11-23,5460431,cc07167a-c20-4589-9548-000000000190
3791,435,Y,2021-12-24,2033931,cc17167a-c21-4589-9548-000000000191
62557,284,Y,2021-01-25,595361,cc27167a-c22-4589-9548-000000000192
42730,189,Y,2021-02-26,5603431,cc37167a-c23-4589-9548-000000000193
91945,714,N,2021-03-27,6717131,cc47167a-c24-4589-9548-000000000194
53806,580,Y,2021-04-28,5460431,cc57167a-c25-4589-9548-000000000195
58678,201,Y,2021-05-01,2033931,cc67167a-c26-4589-9548-000000000196
80544,706,N,2021-06-02,595361,cc77167a-c27-4589-9548-000000000197
99401,551,Y,2021-07-03,5603431,cc87167a-c28-4589-9548-000000000198
76884,42,Y,2021-08-04,6717131,cc97167a-c29-4589-9548-000000000199
47864,613,Y,2021-09-05,5460431,cc07167a-c20-4589-9548-000000000200
69169,269,N,2021-10-06,2033931,cc17167a-c21-4589-9548-000000000201
9589,974,N,2021-11-07,595361,cc27167a-c22-4589-9548-000000000202
55645,804,N,2021-12-08,5603431,cc37167a-c23-4589-9548-000000000203
75853,397,Y,2021-01-09,6717131,cc47167a-c24-4589-9548-000000000204
85734,801,Y,2021-02-10,5460431,cc57167a-c25-4589-9548-000000000205
48846,140,Y,2021-03-11,2033931,cc67167a-c26-4589-9548-000000000206
30852,105,N,2021-04-12,595361,cc77167a-c27-4589-9548-000000000207
75708,966,Y,2021-05-13,5603431,cc87167a-c28-4589-9548-000000000208
51839,535,Y,2021-06-14,6717131,cc97167a-c29-4589-9548-000000000209
10511,888,N,2021-07-15,5460431,cc07167a-c20-4589-9548-000000000210
53655,480,Y,2021-08-16,2033931,cc17167a-c21-4589-9548-000000000211
70516,655,N,2021-09-17,595361,cc27167a-c22-4589-9548-000000000212
48121,346,N,2021-10-18,5603431,cc37167a-c23-4589-9548-000000000213
37034,205,N,2021-11-19,6717131,cc47167a-c24-4589-9548-000000000214
91028,400,N,2021-12-20,5460431,cc57167a-c25-4589-9548-000000000215
7625,761,N,2021-01-21,2033931,cc67167a-c26-4589-9548-000000000216
67469,291,Y,2021-02-22,595361,cc77167a-c27-4589-9548-000000000217
34851,990,Y,2021-03-23,5603431,cc87167a-c28-4589-9548-000000000218
33514,462,Y,2021-04-24,6717131,cc97167a-c29-4589-9548-000000000219
71951,341,N,2021-05-25,5460431,cc07167a-c20-4589-9548-000000000220
79043,521,N,2021-06-26,2033931,cc17167a-c21-4589-9548-000000000221
56551,247,Y,2021-07-27,595361,cc27167a-c22-4589-9548-000000000222
60181,493,Y,2021-08-28,5603431,cc37167a-c23-4589-9548-000000000223
95667,972,N,2021-09-01,6717131,cc47167a-c24-4589-9548-000000000224
58146,481,N,2021-10-02,5460431,cc57167a-c25-4589-9548-000000000225
58279,511,Y,2021-11-03,2033931,cc67167a-c26-4589-9548-000000000226
70976,280,Y,2021-12-04,595361,cc77167a-c27-4589-9548-000000000227
34389,591,Y,2021-01-05,5603431,cc87167a-c28-4589-9548-000000000228
68353,911,N,2021-02-06,6717131,cc97167a-c29-4589-9548-000000000229
13420,142,Y,2021-03-07,5460431,cc07167a-c20-4589-9548-000000000230
11165,533,Y,2021-04-08,2033931,cc17167a-c21-4589-9548-000000000231
31786,273,N,2021-05-09,595361,cc27167a-c22-4589-9548-000000000232
3644,295,N,2021-06-10,5603431,cc37167a-c23-4589-9548-000000000233
46801,451,Y,2021-07-11,6717131,cc47167a-c24-4589-9548-000000000234
65538,633,N,2021-08-12,5460431,cc57167a-c25-4589-9548-000000000235
62526,834,Y,2021-09-13,2033931,cc67167a-c26-4589-9548-000000000236
99541,236,N,2021-10-14,595361,cc77167a-c27-4589-9548-000000000237
97201,129,N,2021-11-15,5603431,cc87167a-c28-4589-9548-000000000238
51308,913,N,2021-12-16,6717131,cc97167a-c29-4589-9548-000000000239
81605,949,N,2021-01-17,5460431,cc07167a-c20-4589-9548-000000000240
53365,744,Y,2021-02-18,2033931,cc17167a-c21-4589-9548-000000000241
65927,357,Y,2021-03-19,595361,cc27167a-c22-4589-9548-000000000242
49569,264,Y,2021-04-20,5603431,cc37167a-c23-4589-9548-000000000243
42283,76,Y,2021-05-21,6717131,cc47167a-c24-4589-9548-000000000244
20022,775,Y,2021-06-22,5460431,cc57167a-c25-4589-9548-000000000245
26040,729,N,2021-07-23,2033931,cc67167a-c26-4589-9548-000000000246
97930,991,Y,2021-08-24,595361,cc77167a-c27-4589-9548-000000000247
28164,407,Y,2021-09-25,5603431,cc87167a-c28-4589-9548-000000000248
45109,263,N,2021-10-26,6717131,cc97167a-c29-4589-9548-000000000249
98496,846,N,2021-11-27,5460431,cc07167a-c20-4589-9548-000000000250
37957,611,Y,2021-12-28,2033931,cc17167a-c21-4589-9548-000000000251
79419,503,Y,2021-01-01,595361,cc27167a-c22-4589-9548-000000000252
91639,359,Y,2021-02-02,5603431,cc37167a-c23-4589-9548-000000000253
55076,202,N,2021-03-03,6717131,cc47167a-c24-4589-9548-000000000254
56341,755,Y,2021-04-04,5460431,cc57167a-c25-4589-9548-000000000255
79158,560,N,2021-05-05,2033931,cc67167a-c26-4589-9548-000000000256
17701,852,Y,2021-06-06,595361,cc77167a-c27-4589-9548-000000000257
58995,732,Y,2021-07-07,5603431,cc87167a-c28-4589-9548-000000000258
2214,358,N,2021-08-08,6717131,cc97167a-c29-4589-9548-000000000259
33448,539,Y,2021-09-09,5460431,cc07167a-c20-4589-9548-000000000260
75926,765,N,2021-10-10,2033931,cc17167a-c21-4589-9548-000000000261
59061,933,Y,2021-11-11,595361,cc27167a-c22-4589-9548-000000000262
1847,615,Y,2021-12-12,5603431,cc37167a-c23-4589-9548-000000000263
55528,14,Y,2021-01-13,6717131,cc47167a-c24-4589-9548-000000000264
60588,8,Y,2021-02-14,5460431,cc57167a-c25-4589-9548-000000000265
29188,874,Y,2021-03-15,2033931,cc67167a-c26-4589-9548-000000000266
11430,532,Y,2021-04-16,595361,cc77167a-c27-4589-9548-000000000267
28466,293,Y,2021-05-17,5603431,cc87167a-c28-4589-9548-000000000268
67017,332,Y,2021-06-18,6717131,cc97167a-c29-4589-9548-000000000269
43980,295,N,2021-07-19,5460431,cc07167a-c20-4589-9548-000000000270
93547,256,N,2021-08-20,2033931,cc17167a-c21-4589-9548-000000000271
55428,383,Y,2021-09-21,595361,cc27167a-c22-4589-9548-000000000272
61862,721,Y,2021-10-22,5603431,cc37167a-c23-4589-9548-000000000273
9116,269,N,2021-11-23,6717131,cc47167a-c24-4589-9548-000000000274
75044,17,N,2021-12-24,5460431,cc57167a-c25-4589-9548-000000000275
1238,344,N,2021-01-25,2033931,cc67167a-c26-4589-9548-000000000276
80588,437,N,2021-02-26,595361,cc77167a-c27-4589-9548-000000000277
30244,32,N,2021-03-27,5603431,cc87167a-c28-4589-9548-000000000278
68484,155,N,2021-04-28,6717131,cc97167a-c29-4589-9548-000000000279
59468,803,Y,2021-05-01,5460431,cc07167a-c20-4589-9548-000000000280
1486,881,Y,2021-06-02,2033931,cc17167a-c21-4589-9548-000000000281
96636,679,Y,2021-07-03,595361,cc27167a-c22-4589-9548-000000000282
22013,166,N,2021-08-04,5603431,cc37167a-c23-4589-9548-000000000283
24746,894,Y,2021-09-05,6717131,cc47167a-c24-4589-9548-000000000284
40701,40,Y,2021-10-06,5460431,cc57167a-c25-4589-9548-000000000285
37834,675,N,2021-11-07,2033931,cc67167a-c26-4589-9548-000000000286
5579,289,Y,2021-12-08,595361,cc77167a-c27-4589-9548-000000000287
63723,219,N,2021-01-09,5603431,cc87167a-c28-4589-9548-000000000288
6620,796,N,2021-02-10,6717131,cc97167a-c29-4589-9548-000000000289
44091,590,Y,2021-03-11,5460431,cc07167a-c20-4589-9548-000000000290
34057,180,Y,2021-04-12,2033931,cc17167a-c21-4589-9548-000000000291
11779,736,N,2021-05-13,595361,cc27167a-c22-4589-9548-000000000292
13928,754,Y,2021-06-14,5603431,cc37167a-c23-4589-9548-000000000293
9450,38,Y,2021-07-15,6717131,cc47167a-c24-4589-9548-000000000294
88787,499,N,2021-08-16,5460431,cc57167a-c25-4589-9548-000000000295
40361,11,Y,2021-09-17,2033931,cc67167a-c26-4589-9548-000000000296
13067,926,Y,2021-10-18,595361,cc77167a-c27-4589-9548-000000000297
15405,297,N,2021-11-19,5603431,cc87167a-c28-4589-9548-000000000298
23208,323,N,2021-12-20,6717131,cc97167a-c29-4589-9548-000000000299
77804,124,N,2021-01-21,5460431,cc07167a-c20-4589-9548-000000000300
2832,105,Y,2021-02-22,2033931,cc17167a-c21-4589-9548-000000000301
6619,196,Y,2021-03-23,595361,cc27167a-c22-4589-9548-000000000302
99115,135,Y,2021-04-24,5603431,cc37167a-c23-4589-9548-000000000303
27308,985,N,2021-05-25,6717131,cc47167a-c24-4589-9548-000000000304
39406,933,N,2021-06-26,5460431,cc57167a-c25-4589-9548-000000000305
66829,594,Y,2021-07-27,2033931,cc67167a-c26-4589-9548-000000000306
38051,761,N,2021-08-28,595361,cc77167a-c27-4589-9548-000000000307
38407,616,Y,2021-09-01,5603431,cc87167a-c28-4589-9548-000000000308
12412,461,Y,2021-10-02,6717131,cc97167a-c29-4589-9548-000000000309
28161,98,Y,2021-11-03,5460431,cc07167a-c20-4589-9548-000000000310
13101,694,N,2021-12-04,2033931,cc17167a-c21-4589-9548-000000000311
26676,891,Y,2021-01-05,595361,cc27167a-c22-4589-9548-000000000312
40092,756,Y,2021-02-06,5603431,cc37167a-c23-4589-9548-000000000313
600,255,Y,2021-03-07,6717131,cc47167a-c24-4589-9548-000000000314
37815,163,Y,2021-04-08,5460431,cc57167a-c25-4589-9548-000000000315
33558,246,N,2021-05-09,2033931,cc67167a-c26-4589-9548-000000000316
92611,335,N,2021-06-10,595361,cc77167a-c27-4589-9548-000000000317
61124,999,Y,2021-07-11,5603431,cc87167a-c28-4589-9548-000000000318
77321,719,Y,2021-08-12,6717131,cc97167a-c29-4589-9548-000000000319
74158,942,Y,2021-09-13,5460431,cc07167a-c20-4589-9548-000000000320
49489,936,N,2021-10-14,2033931,cc17167a-c21-4589-9548-000000000321
6052,909,Y,2021-11-15,595361,cc27167a-c22-4589-9548-000000000322
44908,287,Y,2021-12-16,5603431,cc37167a-c23-4589-9548-000000000323
34797,76,N,2021-01-17,6717131,cc47167a-c24-4589-9548-000000000324
76712,426,N,2021-02-18,5460431,cc57167a-c25-4589-9548-000000000325
28184,240,N,2021-03-19,2033931,cc67167a-c26-4589-9548-000000000326
53358,597,Y,2021-04-20,595361,cc77167a-c27-4589-9548-000000000327
54769,981,N,2021-05-21,5603431,cc87167a-c28-4589-9548-000000000328
58376,628,Y,2021-06-22,6717131,cc97167a-c29-4589-9548-000000000329
26622,340,Y,2021-07-23,5460431,cc07167a-c20-4589-9548-000000000330
55189,215,N,2021-08-24,2033931,cc17167a-c21-4589-9548-000000000331
28616,208,N,2021-09-25,595361,cc27167a-c22-4589-9548-000000000332
46663,614,N,2021-10-26,5603431,cc37167a-c23-4589-9548-000000000333
82643,333,N,2021-11-27,6717131,cc47167a-c24-4589-9548-000000000334
43323,310,N,2021-12-28,5460431,cc57167a-c25-4589-9548-000000000335
7965,451,N,2021-01-01,2033931,cc67167a-c26-4589-9548-000000000336
21900,748,Y,2021-02-02,595361,cc77167a-c27-4589-9548-000000000337
46846,730,N,2021-03-03,5603431,cc87167a-c28-4589-9548-000000000338
5304,470,N,2021-04-04,6717131,cc97167a-c29-4589-9548-000000000339
32535,860,N,2021-05-05,5460431,cc07167a-c20-4589-9548-000000000340
57518,725,N,2021-06-06,2033931,cc17167a-c21-4589-9548-000000000341
23949,302,Y,2021-07-07,595361,cc27167a-c22-4589-9548-000000000342
2361,922,Y,2021-08-08,5603431,cc37167a-c23-4589-9548-000000000343
16652,434,Y,2021-09-09,6717131,cc47167a-c24-4589-9548-000000000344
12329,448,N,2021-10-10,5460431,cc57167a-c25-4589-9548-000000000345
73294,797,Y,2021-11-11,2033931,cc67167a-c26-4589-9548-000000000346
79432,375,N,2021-12-12,595361,cc77167a-c27-4589-9548-000000000347
27649,822,Y,2021-01-13,5603431,cc87167a-c28-4589-9548-000000000348
15496,921,Y,2021-02-14,6717131,cc97167a-c29-4589-9548-000000000349
91028,483,N,2021-03-15,5460431,cc07167a-c20-4589-9548-000000000350
4989,568,N,2021-04-16,2033931,cc17167a-c21-4589-9548-000000000351
58673,515,Y,2021-05-17,595361,cc27167a-c22-4589-9548-000000000352
99012,322,Y,2021-06-18,5603431,cc37167a-c23-4589-9548-000000000353
45915,248,Y,2021-07-19,6717131,cc47167a-c24-4589-9548-000000000354
98967,621,N,2021-08-20,5460431,cc57167a-c25-4589-9548-000000000355
21185,409,Y,2021-09-21,2033931,cc67167a-c26-4589-9548-000000000356
89055,773,Y,2021-10-22,595361,cc77167a-c27-4589-9548-000000000357
22679,42,N,2021-11-23,5603431,cc87167a-c28-4589-9548-000000000358
8509,792,N,2021-12-24,6717131,cc97167a-c29-4589-9548-000000000359
50522,596,Y,2021-01-25,5460431,cc07167a-c20-4589-9548-000000000360
93869,68,Y,2021-02-26,2033931,cc17167a-c21-4589-9548-000000000361
10032,68,N,2021-03-27,595361,cc27167a-c22-4589-9548-000000000362
87537,92,N,2021-04-28,5603431,cc37167a-c23-4589-9548-000000000363
